Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41.0,,Travel_Rarely,1102,,1,,Life Sciences,1,1,2.0,Female,94,3,2,,4.0,Single,,19479,8,Y,Yes,11,3.0,1,80,0,,0,1,6.0,4,0,5
49.0,,Travel_Frequently,279,Research & Development,8,1.0,Life Sciences,1,2,,Male,61,2,2,,,Married,,24907,1,Y,No,23,4.0,4,80,1,10.0,3,3,,7,1,7
37.0,,Travel_Rarely,1373,Research & Development,2,,Other,1,4,4.0,Male,92,2,1,,,Single,2090.0,2396,6,Y,Yes,15,,2,80,0,,3,3,0.0,0,0,0
33.0,No,Travel_Frequently,1392,Research & Development,3,4.0,Life Sciences,1,5,4.0,Female,56,3,1,,,,2909.0,23159,1,Y,Yes,11,,3,80,0,8.0,3,3,,7,3,0
27.0,No,Travel_Rarely,591,Research & Development,2,,Medical,1,7,1.0,Male,40,3,1,,2.0,,3468.0,16632,9,Y,No,12,3.0,4,80,1,,3,3,,2,2,2
,No,Travel_Frequently,1005,,2,2.0,Life Sciences,1,8,4.0,Male,79,3,1,,4.0,Single,3068.0,11864,0,Y,No,13,3.0,3,80,0,8.0,2,2,7.0,7,3,6
,No,Travel_Rarely,1324,Research & Development,3,3.0,Medical,1,10,3.0,Female,81,4,1,Laboratory Technician,1.0,Married,2670.0,9964,4,Y,Yes,20,,1,80,3,12.0,3,2,1.0,0,0,0
30.0,,Travel_Rarely,1358,,24,,Life Sciences,1,11,,Male,67,3,1,Laboratory Technician,,Divorced,,13335,1,Y,No,22,4.0,2,80,1,1.0,2,3,1.0,0,0,0
,,Travel_Frequently,216,,23,,Life Sciences,1,12,,Male,44,2,3,Manufacturing Director,,,9526.0,8787,0,Y,No,21,4.0,2,80,0,,2,3,,7,1,8
36.0,No,Travel_Rarely,1299,Research & Development,27,3.0,Medical,1,13,,Male,94,3,2,Healthcare Representative,,Married,5237.0,16577,6,Y,No,13,,2,80,2,17.0,3,2,7.0,7,7,7
,No,Travel_Rarely,809,,16,,Medical,1,14,,Male,84,4,1,Laboratory Technician,,Married,2426.0,16479,0,Y,No,13,,3,80,1,6.0,5,3,5.0,4,0,3
,,Travel_Rarely,153,Research & Development,15,2.0,Life Sciences,1,15,4.0,Female,49,2,2,Laboratory Technician,3.0,Single,4193.0,12682,0,Y,Yes,12,3.0,4,80,0,,3,3,9.0,5,0,8
